skill_id,canonical_skill_key,is_untagged,tag_count,original_tag_ids,question_count,raw_interaction_count,supervised_interaction_count,retained_interaction_count
57,2;13;179;183,False,4,"[2,13,179,183]",2,19019,19018,16544
58,2;13;179;184,False,4,"[2,13,179,184]",1,8572,8572,7573
59,2;13;181,False,3,"[2,13,181]",6,83930,83916,75171
60,2;13;183,False,3,"[2,13,183]",2,36918,36913,32856
61,2;13;184,False,3,"[2,13,184]",3,21730,21729,20601
62,2;13;185,False,3,"[2,13,185]",1,15840,15840,14020
63,2;14;179;181,False,4,"[2,14,179,181]",1,22949,22945,12741
64,2;14;179;182,False,4,"[2,14,179,182]",5,60062,60053,53814
65,2;14;179;183,False,4,"[2,14,179,183]",1,47011,47010,34747
66,2;14;181,False,3,"[2,14,181]",7,69604,69598,55054
67,2;14;182,False,3,"[2,14,182]",7,41923,41921,37907
68,2;14;183,False,3,"[2,14,183]",9,74881,74873,67399
69,2;14;184,False,3,"[2,14,184]",3,23117,23115,21511
70,2;14;185,False,3,"[2,14,185]",1,17880,17878,16092
71,2;15;179;181,False,4,"[2,15,179,181]",1,9794,9794,8430
72,2;15;179;182,False,4,"[2,15,179,182]",2,45835,45835,34774
73,2;15;179;183,False,4,"[2,15,179,183]",1,11465,11462,10341
74,2;15;181,False,3,"[2,15,181]",6,70889,70882,63170
75,2;15;182,False,3,"[2,15,182]",3,23449,23443,21633
76,2;15;183,False,3,"[2,15,183]",4,42394,42390,38591
77,2;15;184,False,3,"[2,15,184]",2,15237,15235,13709
78,2;15;185,False,3,"[2,15,185]",3,36726,36723,33179
79,2;16;179;181,False,4,"[2,16,179,181]",4,52746,52742,45923
80,2;16;179;182,False,4,"[2,16,179,182]",1,5617,5613,4996
81,2;16;179;183,False,4,"[2,16,179,183]",1,5950,5950,5327
82,2;16;181,False,3,"[2,16,181]",5,54360,54360,48596
83,2;16;182,False,3,"[2,16,182]",2,13095,13095,12360
84,2;16;183,False,3,"[2,16,183]",8,82625,82624,65436
85,2;16;184,False,3,"[2,16,184]",2,10912,10912,10261
86,2;16;185,False,3,"[2,16,185]",1,7746,7746,7173
87,2;19;181,False,3,"[2,19,181]",5,56943,56938,51653
88,2;19;182,False,3,"[2,19,182]",6,45897,45894,43143
89,2;19;183,False,3,"[2,19,183]",4,47813,47813,41745
90,2;19;184,False,3,"[2,19,184]",7,99846,99843,83124
91,2;19;185,False,3,"[2,19,185]",1,31944,31942,27812
92,2;22;179;182,False,4,"[2,22,179,182]",1,10071,10063,8803
93,2;22;179;183,False,4,"[2,22,179,183]",1,2541,2541,2150
94,2;22;181,False,3,"[2,22,181]",7,46156,45878,41709
95,2;22;182,False,3,"[2,22,182]",4,53745,53744,40894
96,2;22;183,False,3,"[2,22,183]",8,72933,72933,64605
97,2;22;184,False,3,"[2,22,184]",6,35269,35267,32522
98,2;22;185,False,3,"[2,22,185]",3,21319,21317,18086
99,2;180;181,False,3,"[2,180,181]",1,8390,8390,7870
100,2;180;182,False,3,"[2,180,182]",2,14621,14621,13692
101,2;180;183,False,3,"[2,180,183]",5,73736,73736,57253
102,2;180;184,False,3,"[2,180,184]",2,17902,17900,16334
103,6;7;179;181,False,4,"[6,7,179,181]",1,8706,8703,8049
104,6;7;179;182,False,4,"[6,7,179,182]",3,30422,30419,28272
105,6;7;179;183,False,4,"[6,7,179,183]",3,27427,27427,25113
106,6;7;181,False,3,"[6,7,181]",18,193220,193110,163569
107,6;7;182,False,3,"[6,7,182]",16,143862,143849,124750
108,6;7;183,False,3,"[6,7,183]",22,398775,398702,209657
109,6;7;184,False,3,"[6,7,184]",19,124355,124348,115943
110,6;7;185,False,3,"[6,7,185]",5,42087,42077,35985
111,7;10;179;181,False,4,"[7,10,179,181]",1,9366,9364,8406
112,7;10;179;182,False,4,"[7,10,179,182]",2,11891,11888,10606
113,7;10;179;183,False,4,"[7,10,179,183]",3,26469,26464,23062
114,7;10;181,False,3,"[7,10,181]",10,73573,73565,66488
115,7;10;182,False,3,"[7,10,182]",6,54885,54877,49536
116,7;10;183,False,3,"[7,10,183]",4,39112,39106,35806
117,7;10;184,False,3,"[7,10,184]",4,35181,35181,32591
118,7;10;185,False,3,"[7,10,185]",2,30010,30005,26740
119,7;11;179;183,False,4,"[7,11,179,183]",1,54388,54387,40044
120,7;11;181,False,3,"[7,11,181]",8,113394,113267,103043
121,7;11;182,False,3,"[7,11,182]",3,20176,20173,19075
122,7;11;183,False,3,"[7,11,183]",10,366885,366881,182063
123,7;11;184,False,3,"[7,11,184]",2,14094,14090,13231
124,7;12;183,False,3,"[7,12,183]",1,6584,6584,6246
125,7;17;179;182,False,4,"[7,17,179,182]",2,37731,37731,27490
126,7;17;179;183,False,4,"[7,17,179,183]",1,12627,12627,11295
127,7;17;179;184,False,4,"[7,17,179,184]",1,11864,11864,10407
128,7;17;181,False,3,"[7,17,181]",5,45786,45783,41170
129,7;17;182,False,3,"[7,17,182]",8,131409,131372,109936
130,7;17;183,False,3,"[7,17,183]",10,118770,118765,107114
131,7;17;184,False,3,"[7,17,184]",3,47224,47220,43173
132,7;17;185,False,3,"[7,17,185]",1,18167,18167,16108
133,7;18;179;182,False,4,"[7,18,179,182]",1,44433,44432,23521
134,7;18;179;183,False,4,"[7,18,179,183]",1,23695,23695,21436
135,7;18;181,False,3,"[7,18,181]",10,83861,83855,76200
136,7;18;182,False,3,"[7,18,182]",3,21132,21131,18279
137,7;18;183,False,3,"[7,18,183]",5,54433,54432,48843
138,7;18;184,False,3,"[7,18,184]",4,54487,54485,43042
139,7;18;185,False,3,"[7,18,185]",2,38177,38164,33168
140,20;21;179;183,False,4,"[20,21,179,183]",2,38730,38727,33784
141,20;21;179;184,False,4,"[20,21,179,184]",3,64944,64933,51485
142,20;21;181,False,3,"[20,21,181]",6,66584,66567,61698
143,20;21;182,False,3,"[20,21,182]",3,62310,62301,55394
144,20;21;183,False,3,"[20,21,183]",1,20170,20168,17696
145,20;21;184,False,3,"[20,21,184]",2,14872,14814,13916
146,20;21;185,False,3,"[20,21,185]",6,132417,132387,115044
147,23;24;25;179;181;182,False,6,"[23,24,25,179,181,182]",1,11262,11260,10223
148,23;24;25;179;181;185,False,6,"[23,24,25,179,181,185]",1,12467,12467,11294
149,23;24;25;179;183;185,False,6,"[23,24,25,179,183,185]",2,14538,14538,12061
150,23;24;25;181;182,False,5,"[23,24,25,181,182]",2,26363,26359,23891
151,23;24;25;181;183,False,5,"[23,24,25,181,183]",10,166480,166462,147493
152,23;24;25;181;184,False,5,"[23,24,25,181,184]",3,34607,34606,30502
153,23;24;25;181;185,False,5,"[23,24,25,181,185]",3,78611,78611,67501
154,23;24;25;182;183,False,5,"[23,24,25,182,183]",2,25002,25001,22081
155,23;24;25;182;184,False,5,"[23,24,25,182,184]",2,35364,35362,32214
156,23;24;25;183;184,False,5,"[23,24,25,183,184]",2,26779,26779,24802
157,23;24;25;183;185,False,5,"[23,24,25,183,185]",2,48482,48481,42633
158,23;24;33;179;183;185,False,6,"[23,24,33,179,183,185]",1,19227,19226,15203
159,23;24;33;181;182,False,5,"[23,24,33,181,182]",3,43586,43583,37985
160,23;24;33;181;183,False,5,"[23,24,33,181,183]",4,62856,62855,57933
161,23;24;33;181;184,False,5,"[23,24,33,181,184]",2,50446,50440,46820
162,23;24;33;181;185,False,5,"[23,24,33,181,185]",3,71527,71525,65459
163,23;24;33;182;184,False,5,"[23,24,33,182,184]",2,31461,31461,28950
164,23;24;33;183;184,False,5,"[23,24,33,183,184]",1,179,179,159
165,23;24;33;183;185,False,5,"[23,24,33,183,185]",1,11921,11920,10563
166,23;24;33;184;185,False,5,"[23,24,33,184,185]",1,13276,13274,11703
167,23;28;47;179;181;183,False,6,"[23,28,47,179,181,183]",1,20071,20064,17699
168,23;46;47;181;185,False,5,"[23,46,47,181,185]",1,41236,41234,35380
169,24;25;27;179;182;184,False,6,"[24,25,27,179,182,184]",1,17299,17299,15847
170,24;25;27;181;183,False,5,"[24,25,27,181,183]",1,13209,13206,12369
171,24;25;27;181;184,False,5,"[24,25,27,181,184]",1,9456,9456,8746
172,24;25;27;183;184,False,5,"[24,25,27,183,184]",1,10913,10913,10060
173,24;25;27;183;185,False,5,"[24,25,27,183,185]",1,10981,10979,10199
174,24;25;30;181;182,False,5,"[24,25,30,181,182]",1,59134,59134,53701
175,24;25;30;181;183,False,5,"[24,25,30,181,183]",1,9198,9197,8521
176,24;25;30;181;185,False,5,"[24,25,30,181,185]",2,26693,26690,22192
177,24;25;30;182;183,False,5,"[24,25,30,182,183]",1,15434,15431,14419
178,24;25;179;181;183,False,5,"[24,25,179,181,183]",2,16312,16306,14797
179,24;25;181;182,False,4,"[24,25,181,182]",11,34626,34623,32082
180,24;25;181;183,False,4,"[24,25,181,183]",7,76923,76885,68676
181,24;25;181;184,False,4,"[24,25,181,184]",10,36294,36293,32318
182,24;25;181;185,False,4,"[24,25,181,185]",3,15393,15389,14001
183,24;25;182;183,False,4,"[24,25,182,183]",17,130464,130461,119057
184,24;25;182;184,False,4,"[24,25,182,184]",2,16445,16441,15222
185,24;25;183;184,False,4,"[24,25,183,184]",9,29514,29506,28033
186,24;25;183;185,False,4,"[24,25,183,185]",4,63922,63921,56457
187,24;26;27;179;181;184,False,6,"[24,26,27,179,181,184]",1,11517,11517,10145
188,24;26;27;181;183,False,5,"[24,26,27,181,183]",3,35074,35072,31917
189,24;26;27;181;185,False,5,"[24,26,27,181,185]",3,62241,62217,53410
190,24;26;27;182;183,False,5,"[24,26,27,182,183]",2,10986,10985,10198
191,24;26;27;182;184,False,5,"[24,26,27,182,184]",1,15048,15048,13983
192,24;26;27;183;184,False,5,"[24,26,27,183,184]",1,12122,12122,10868
193,24;26;27;183;185,False,5,"[24,26,27,183,185]",3,55330,55317,50237
194,24;26;30;181;183,False,5,"[24,26,30,181,183]",3,29211,29206,26337
195,24;26;30;182;183,False,5,"[24,26,30,182,183]",1,21612,21612,19982
196,24;26;51;181;183,False,5,"[24,26,51,181,183]",1,72716,72716,64906
197,24;26;51;181;185,False,5,"[24,26,51,181,185]",1,60752,60749,55343
198,24;26;51;182;183,False,5,"[24,26,51,182,183]",1,68163,68163,60433
199,24;26;179;181;185,False,5,"[24,26,179,181,185]",1,7587,7587,6815
200,24;26;181;182,False,4,"[24,26,181,182]",19,60048,60039,55667
201,24;26;181;183,False,4,"[24,26,181,183]",6,37669,37654,34476
202,24;26;181;184,False,4,"[24,26,181,184]",13,45027,45015,42281
203,24;26;181;185,False,4,"[24,26,181,185]",3,19066,19062,17414
204,24;26;182;183,False,4,"[24,26,182,183]",17,49266,49257,45292
205,24;26;182;184,False,4,"[24,26,182,184]",7,253069,253066,95893
206,24;26;183;184,False,4,"[24,26,183,184]",11,99032,99024,90763
207,24;26;183;185,False,4,"[24,26,183,185]",10,93858,93812,81028
208,24;26;184;185,False,4,"[24,26,184,185]",4,29595,29594,27048
209,24;27;33;182;183,False,5,"[24,27,33,182,183]",2,22596,22596,20278
210,24;27;40;181;182,False,5,"[24,27,40,181,182]",1,1152,1152,1104
211,24;27;40;181;183,False,5,"[24,27,40,181,183]",2,24505,24504,21905
212,24;27;40;181;184,False,5,"[24,27,40,181,184]",1,9788,9782,9085
213,24;27;40;183;185,False,5,"[24,27,40,183,185]",2,24977,24977,20386
214,24;27;41;179;181;185,False,6,"[24,27,41,179,181,185]",1,11485,11480,10439
215,24;27;41;181;182,False,5,"[24,27,41,181,182]",1,15156,15155,13951
216,24;27;41;181;183,False,5,"[24,27,41,181,183]",1,29501,29501,26774
217,24;27;41;181;185,False,5,"[24,27,41,181,185]",1,25260,25260,23813
218,24;27;43;181;182,False,5,"[24,27,43,181,182]",1,16879,16878,14760
219,24;27;43;181;184,False,5,"[24,27,43,181,184]",1,17218,17218,16381
220,24;27;43;183;185,False,5,"[24,27,43,183,185]",2,24531,24521,22466
221,24;27;48;181;182,False,5,"[24,27,48,181,182]",1,15287,15287,13517
222,24;27;48;183;184,False,5,"[24,27,48,183,184]",1,14742,14742,12986
223,24;27;50;183;185,False,5,"[24,27,50,183,185]",1,19666,19663,17723
224,24;30;33;181;183,False,5,"[24,30,33,181,183]",1,34297,34292,29830
225,24;30;33;181;184,False,5,"[24,30,33,181,184]",2,20177,20177,17619
226,24;30;33;181;185,False,5,"[24,30,33,181,185]",2,21505,21497,20094
227,24;30;33;183;185,False,5,"[24,30,33,183,185]",2,31571,31570,21271
228,24;30;40;181;183,False,5,"[24,30,40,181,183]",1,6738,6738,6252
229,24;30;40;181;185,False,5,"[24,30,40,181,185]",1,8676,8676,8103
230,24;30;40;182;183,False,5,"[24,30,40,182,183]",1,7202,7201,6742
231,24;30;40;183;184,False,5,"[24,30,40,183,184]",1,11683,11682,10993
232,24;30;40;183;185,False,5,"[24,30,40,183,185]",1,8982,8982,8392
233,24;30;41;182;183,False,5,"[24,30,41,182,183]",1,12136,12134,11508
234,24;30;41;183;184,False,5,"[24,30,41,183,184]",1,156,156,154
235,24;30;43;182;183,False,5,"[24,30,43,182,183]",1,9600,9598,9029
236,24;30;43;182;184,False,5,"[24,30,43,182,184]",1,146,146,146
237,24;30;43;183;184,False,5,"[24,30,43,183,184]",1,14780,14780,13106
238,24;30;43;183;185,False,5,"[24,30,43,183,185]",1,20845,20838,18796
239,24;30;45;183;184,False,5,"[24,30,45,183,184]",1,12085,12085,10171
240,24;30;48;181;182,False,5,"[24,30,48,181,182]",1,21726,21725,14060
241,24;30;50;183;185,False,5,"[24,30,50,183,185]",2,21023,21023,19305
242,24;33;51;181;182,False,5,"[24,33,51,181,182]",1,2211,2211,2068
243,24;33;51;181;183,False,5,"[24,33,51,181,183]",2,106347,106340,91178
244,24;33;51;181;185,False,5,"[24,33,51,181,185]",1,51274,51274,44951
245,24;33;51;182;183,False,5,"[24,33,51,182,183]",1,54343,54342,45450
246,24;33;179;181;183,False,5,"[24,33,179,181,183]",2,25551,25540,22946
247,24;33;181;182,False,4,"[24,33,181,182]",17,49184,49180,39103
248,24;33;181;183,False,4,"[24,33,181,183]",7,59657,59627,52813
249,24;33;181;184,False,4,"[24,33,181,184]",10,35541,35534,33127
250,24;33;181;185,False,4,"[24,33,181,185]",4,71941,71924,64385
251,24;33;182;183,False,4,"[24,33,182,183]",17,109905,109894,101386
252,24;33;182;184,False,4,"[24,33,182,184]",4,30935,30929,25871
253,24;33;183;184,False,4,"[24,33,183,184]",5,63954,63950,60018
254,24;33;183;185,False,4,"[24,33,183,185]",5,34145,34137,31961
255,24;33;184;185,False,4,"[24,33,184,185]",2,18930,18926,17112
256,24;40;179;181;183,False,5,"[24,40,179,181,183]",1,8418,8417,7676
257,24;40;179;182;183,False,5,"[24,40,179,182,183]",1,7438,7438,6742
258,24;40;181;182,False,4,"[24,40,181,182]",24,135956,135950,122959
259,24;40;181;183,False,4,"[24,40,181,183]",12,110952,110922,101091
260,24;40;181;184,False,4,"[24,40,181,184]",18,90654,90638,82072
261,24;40;181;185,False,4,"[24,40,181,185]",17,164839,164788,153405
262,24;40;182;183,False,4,"[24,40,182,183]",12,70345,70307,60999
263,24;40;182;184,False,4,"[24,40,182,184]",10,69269,69257,64034
264,24;40;183;184,False,4,"[24,40,183,184]",5,89405,89404,55394
265,24;40;183;185,False,4,"[24,40,183,185]",9,121198,121097,109538
266,24;40;184;185,False,4,"[24,40,184,185]",1,9112,9112,7516
267,24;41;179;181;184,False,5,"[24,41,179,181,184]",1,20781,20772,19176
268,24;41;179;183;185,False,5,"[24,41,179,183,185]",1,10035,10035,9056
269,24;41;181;182,False,4,"[24,41,181,182]",13,59426,59425,54170
270,24;41;181;183,False,4,"[24,41,181,183]",5,32001,32001,29314
271,24;41;181;184,False,4,"[24,41,181,184]",7,40534,40532,37908
272,24;41;181;185,False,4,"[24,41,181,185]",10,102635,102619,93611
273,24;41;182;183,False,4,"[24,41,182,183]",8,95575,95568,88426
274,24;41;182;184,False,4,"[24,41,182,184]",2,19560,19560,17865
275,24;41;183;184,False,4,"[24,41,183,184]",6,72692,72684,65861
276,24;41;183;185,False,4,"[24,41,183,185]",5,81389,81321,74074
277,24;41;184;185,False,4,"[24,41,184,185]",1,725,725,659
278,24;43;179;182;184,False,5,"[24,43,179,182,184]",1,11341,11339,10502
279,24;43;179;183;185,False,5,"[24,43,179,183,185]",1,11938,11937,10867
280,24;43;181;182,False,4,"[24,43,181,182]",18,71173,71110,66287
281,24;43;181;183,False,4,"[24,43,181,183]",7,107897,107874,77993
282,24;43;181;184,False,4,"[24,43,181,184]",19,137578,137562,124170
283,24;43;181;185,False,4,"[24,43,181,185]",5,53396,53381,43843
284,24;43;182;183,False,4,"[24,43,182,183]",19,60931,60923,56440
285,24;43;182;184,False,4,"[24,43,182,184]",6,65347,65331,59443
286,24;43;183;184,False,4,"[24,43,183,184]",6,43168,43164,39581
287,24;43;183;185,False,4,"[24,43,183,185]",7,62514,62507,57409
288,24;43;184;185,False,4,"[24,43,184,185]",2,29327,29327,23146
289,24;45;179;181;184,False,5,"[24,45,179,181,184]",1,10074,10072,9021
290,24;48;179;181;183,False,5,"[24,48,179,181,183]",1,12824,12822,11459
291,24;48;179;183;184,False,5,"[24,48,179,183,184]",1,12553,12553,11006
292,24;48;181;182,False,4,"[24,48,181,182]",7,8175,8175,7890
293,24;48;181;183,False,4,"[24,48,181,183]",6,89621,89616,80051
294,24;48;181;184,False,4,"[24,48,181,184]",7,69955,69952,63313
295,24;48;181;185,False,4,"[24,48,181,185]",4,98067,98064,86566
296,24;48;182;183,False,4,"[24,48,182,183]",5,58317,58315,51289
297,24;48;182;184,False,4,"[24,48,182,184]",3,40849,40836,36955
298,24;48;183;184,False,4,"[24,48,183,184]",4,30310,30307,28079
299,24;48;183;185,False,4,"[24,48,183,185]",1,17895,17892,16404
300,24;50;179;181;183,False,5,"[24,50,179,181,183]",1,373,373,367
301,24;50;179;183;184,False,5,"[24,50,179,183,184]",1,17090,17090,13402
302,24;50;181;182,False,4,"[24,50,181,182]",6,7065,7065,6777
303,24;50;181;183,False,4,"[24,50,181,183]",5,65761,65756,60815
304,24;50;181;184,False,4,"[24,50,181,184]",12,103122,103113,94617
305,24;50;181;185,False,4,"[24,50,181,185]",3,43220,43210,38931
306,24;50;182;183,False,4,"[24,50,182,183]",12,116902,116879,108194
307,24;50;182;184,False,4,"[24,50,182,184]",5,60832,60820,55467
308,24;50;183;184,False,4,"[24,50,183,184]",5,36639,36632,34091
309,24;50;183;185,False,4,"[24,50,183,185]",3,52306,52298,44380
310,24;50;184;185,False,4,"[24,50,184,185]",5,128768,128751,81806
311,27;28;29;179;181;184,False,6,"[27,28,29,179,181,184]",1,16769,16769,14895
312,27;28;29;181;184,False,5,"[27,28,29,181,184]",1,1138,1138,1092
313,27;28;29;183;185,False,5,"[27,28,29,183,185]",1,29415,29414,26929
314,27;28;45;179;181;182,False,6,"[27,28,45,179,181,182]",1,13167,13167,11849
315,27;28;45;181;185,False,5,"[27,28,45,181,185]",1,39848,39847,35479
316,27;28;45;182;184,False,5,"[27,28,45,182,184]",1,25502,25502,20826
317,27;31;32;181;185,False,5,"[27,31,32,181,185]",1,13312,13310,11996
318,27;34;35;181;182,False,5,"[27,34,35,181,182]",1,11977,11976,11142
319,27;34;42;181;183,False,5,"[27,34,42,181,183]",1,21951,21946,20238
320,27;34;42;182;184,False,5,"[27,34,42,182,184]",1,29554,29546,27298
321,27;36;37;181;183,False,5,"[27,36,37,181,183]",2,45158,45150,41213
322,27;36;37;182;183,False,5,"[27,36,37,182,183]",1,1196,1196,1141
323,27;36;37;182;184,False,5,"[27,36,37,182,184]",1,17856,17856,16475
324,27;36;37;183;184,False,5,"[27,36,37,183,184]",2,16125,16124,14475
325,27;37;38;181;182,False,5,"[27,37,38,181,182]",1,32497,32496,29609
326,27;38;39;179;181;184,False,6,"[27,38,39,179,181,184]",1,14634,14633,13260
327,27;38;39;182;183,False,5,"[27,38,39,182,183]",1,16924,16924,14472
328,27;38;39;184;185,False,5,"[27,38,39,184,185]",1,16109,16107,14226
329,27;44;45;179;181;182,False,6,"[27,44,45,179,181,182]",1,16138,16137,14524
330,27;44;45;179;184;185,False,6,"[27,44,45,179,184,185]",1,15278,15278,13886
331,27;44;45;181;183,False,5,"[27,44,45,181,183]",1,15476,15472,12845
332,27;44;45;182;184,False,5,"[27,44,45,182,184]",2,52243,52241,46833
333,27;44;45;183;184,False,5,"[27,44,45,183,184]",1,1122,1122,1079
334,27;44;49;181;184,False,5,"[27,44,49,181,184]",1,122851,122850,85567
335,27;46;47;181;183,False,5,"[27,46,47,181,183]",2,83959,83954,75967
336,27;46;47;182;183,False,5,"[27,46,47,182,183]",1,22995,22987,20341
337,27;46;47;183;184,False,5,"[27,46,47,183,184]",1,22278,22274,19813
338,28;29;30;179;181;184,False,6,"[28,29,30,179,181,184]",1,12265,12265,11194
339,28;29;30;179;182;183,False,6,"[28,29,30,179,182,183]",1,10971,10970,10169
340,28;29;30;179;184;185,False,6,"[28,29,30,179,184,185]",1,11087,11087,9948
341,28;29;30;181;182,False,5,"[28,29,30,181,182]",3,31012,31009,27737
342,28;29;30;181;183,False,5,"[28,29,30,181,183]",1,10830,10830,9916
343,28;29;30;181;184,False,5,"[28,29,30,181,184]",1,11076,11074,10062
344,28;29;30;181;185,False,5,"[28,29,30,181,185]",3,65156,65153,54257
345,28;29;30;182;184,False,5,"[28,29,30,182,184]",2,33612,33611,31541
346,28;29;30;183;184,False,5,"[28,29,30,183,184]",1,11310,11309,10498
347,28;29;30;183;185,False,5,"[28,29,30,183,185]",1,10290,10283,9658
348,28;29;30;184;185,False,5,"[28,29,30,184,185]",3,94925,94905,79088
349,28;29;179;181;184,False,5,"[28,29,179,181,184]",1,12811,12811,11697
350,28;29;179;181;185,False,5,"[28,29,179,181,185]",2,34879,34873,31569
351,28;29;179;182;183,False,5,"[28,29,179,182,183]",1,10383,10379,9589
352,28;29;179;182;184,False,5,"[28,29,179,182,184]",3,42332,42329,38317
353,28;29;179;183;184,False,5,"[28,29,179,183,184]",3,80543,80541,70918
354,28;29;181;182,False,4,"[28,29,181,182]",12,49557,49543,45919
355,28;29;181;183,False,4,"[28,29,181,183]",16,144895,144868,133530
356,28;29;181;184,False,4,"[28,29,181,184]",21,126393,126367,117815
357,28;29;181;185,False,4,"[28,29,181,185]",7,71847,71842,67489
358,28;29;182;183,False,4,"[28,29,182,183]",9,50385,50377,46795
359,28;29;182;184,False,4,"[28,29,182,184]",1,17814,17812,17108
360,28;29;183;184,False,4,"[28,29,183,184]",15,143518,143510,123397
361,28;29;183;185,False,4,"[28,29,183,185]",7,91948,91915,85844
362,28;29;184;185,False,4,"[28,29,184,185]",1,8910,8908,8312
363,28;30;37;181;182,False,5,"[28,30,37,181,182]",1,15745,15745,14998
364,28;30;37;182;184,False,5,"[28,30,37,182,184]",1,9874,9870,9135
365,28;30;37;183;185,False,5,"[28,30,37,183,185]",1,13996,13987,13259
366,28;30;47;179;181;182,False,6,"[28,30,47,179,181,182]",1,24176,24175,22505
367,28;30;49;181;182,False,5,"[28,30,49,181,182]",1,41962,41961,35461
368,28;32;181;183,False,4,"[28,32,181,183]",1,10645,10644,9848
369,28;32;181;184,False,4,"[28,32,181,184]",1,11080,11080,10395
370,28;32;183;185,False,4,"[28,32,183,185]",2,18341,18341,16958
371,28;35;183;184,False,4,"[28,35,183,184]",1,16266,16265,15165
372,28;37;181;183,False,4,"[28,37,181,183]",1,17118,17115,16414
373,28;37;181;184,False,4,"[28,37,181,184]",2,26545,26538,25161
374,28;37;182;183,False,4,"[28,37,182,183]",1,14171,14171,12665
375,28;37;183;184,False,4,"[28,37,183,184]",1,11783,11778,11331
376,28;42;181;183,False,4,"[28,42,181,183]",1,17102,17101,15986
377,28;42;183;185,False,4,"[28,42,183,185]",1,10288,10286,9393
378,28;43;181;183,False,4,"[28,43,181,183]",1,8457,8451,7826
379,28;45;183;184,False,4,"[28,45,183,184]",2,21303,21299,20096
